Tiempo (s),Voltaje CH1 (V)
-0.017800000000000003,-902.1845373048519
-0.0177,-902.1845315670499
-0.017600000000000005,-902.1845274292492
-0.0175,-902.1845362115131
-0.0174,-902.1845308425997
-0.017300000000000003,-902.1845368159628
-0.0172,-902.1845366070751
-0.017100000000000004,-902.1845280070321
-0.017,-902.1845375848533
-0.0169,-902.1845316826038
-0.016800000000000002,-902.184527638137
-0.0167,-902.1845358159578
-0.016600000000000004,-902.1845307448191
-0.0165,-902.1845368515163
-0.016399999999999998,-902.184536655962
-0.016300000000000002,-902.1845282248065
-0.0162,-902.1845375759666
-0.016100000000000003,-902.1845313803823
-0.016,-902.1845273270287
-0.015900000000000004,-902.1845363092935
-0.0158,-902.184530455931
-0.0157,-902.184536740409
-0.015600000000000003,-902.1845365715149
-0.0155,-902.1845283448071
-0.015400000000000004,-902.1845376781891
-0.015300000000000001,-902.1845314426026
-0.015199999999999998,-902.184527389249
-0.015100000000000002,-902.1845360692924
-0.015,-902.1845307270457
-0.014900000000000004,-902.1845370204105
-0.0148,-902.1845367315157
-0.014699999999999998,-902.1845279536985
-0.014600000000000002,-902.1845375404131
-0.014499999999999999,-902.1845315314897
-0.014400000000000003,-902.1845274425826
-0.0143,-902.1845362026264
-0.014200000000000004,-902.1845359848453
-0.014100000000000001,-902.1845307048189
-0.013999999999999999,-902.1845367137423
-0.013900000000000003,-902.1845282648067
-0.0138,-902.1845374781861
-0.013700000000000004,-902.1845316292702
-0.013600000000000001,-902.1845274648027
-0.013499999999999998,-902.1845357937377
-0.013400000000000002,-902.1845359670718
-0.0133,-902.1845305848183
-0.013200000000000003,-902.1845367137423
-0.0131,-902.184528104806
-0.012999999999999998,-902.1845374604127
-0.012900000000000002,-902.1845317048239
-0.012799999999999999,-902.1845321848264
-0.012700000000000003,-902.1845273759156
-0.0126,-902.1845361270726
-0.012500000000000004,-902.1845304781511
-0.012400000000000001,-902.1845366870755
-0.012299999999999998,-902.1845282025864
-0.012200000000000003,-902.1845375848533
-0.0121,-902.1845316781571
-0.012000000000000004,-902.1845324381609
-0.0119,-902.1845275359163
-0.011799999999999998,-902.1845277092506
-0.011700000000000002,-902.1845358515113
-0.0116,-902.1845369137433
-0.011500000000000003,-902.1845282825868
-0.0114,-902.1845284114742
-0.011299999999999998,-902.1845375270797
-0.011200000000000002,-902.1845352381749
-0.011099999999999999,-902.1845275803632
-0.011000000000000003,-902.1845275003628
-0.0109,-902.1845358381779
-0.010800000000000004,-902.1845309048199
-0.010700000000000001,-902.184536655962
-0.010599999999999998,-902.1845282825868
-0.010500000000000002,-902.1845376693004
-0.0104,-902.184535322622
-0.010300000000000004,-902.1845314737161
-0.0102,-902.1845275270297
-0.010099999999999998,-902.1845360915125
-0.010000000000000002,-902.1845308603797
-0.009899999999999999,-902.1845368470763
-0.009800000000000003,-902.1845281270326
-0.0097,-902.18453757152
-0.009599999999999997,-902.1845354248425
-0.009500000000000001,-902.1845315937167
-0.009399999999999999,-902.1845274959162
-0.009300000000000003,-902.1845359804053
-0.0092,-902.184530789266
-0.009100000000000004,-902.184536655962
-0.009000000000000001,-902.1845365804082
-0.008899999999999998,-902.1845281803663
-0.008800000000000002,-902.1845375581865
-0.0087,-902.1845315181563
-0.008600000000000003,-902.1845272825818
-0.0085,-902.1845358292912
-0.008399999999999998,-902.1845308603797
-0.008300000000000002,-902.1845369492968
-0.008199999999999999,-902.1845366026284
-0.008100000000000003,-902.1845280514723
-0.008,-902.1845376159667
-0.007899999999999997,-902.1845315981567
-0.007800000000000001,-902.1845276203635
-0.0076999999999999985,-902.1845360426256
-0.007600000000000003,-902.1845307359324
-0.0075,-902.1845370115171
-0.007400000000000004,-902.1845368426297
-0.007300000000000001,-902.184528207033
-0.007199999999999998,-902.1845374604127
-0.007100000000000002,-902.1845316737171
-0.006999999999999999,-902.1845276514703
-0.006900000000000003,-902.1845364204075
-0.0068000000000000005,-902.1845304781511
-0.006699999999999998,-902.1845366026284
-0.006600000000000002,-902.1845366515153
-0.006499999999999999,-902.1845282336999
-0.006400000000000003,-902.1845374381859
-0.0063,-902.1845316203835
-0.006200000000000004,-902.1845273936957
-0.006100000000000001,-902.1845361537395
-0.005999999999999998,-902.1845307137123
-0.0059000000000000025,-902.1845365981817
-0.0058,-902.1845367848493
-0.005700000000000004,-902.1845282914735
-0.005600000000000001,-902.1845376870785
-0.005499999999999998,-902.1845316692704
-0.005400000000000002,-902.1845273536954
-0.005299999999999999,-902.1845357448441
-0.005200000000000003,-902.1845359092916
-0.0051,-902.1845306870455
-0.0049999999999999975,-902.1845369048499
-0.004900000000000002,-902.1845282648067
-0.004799999999999999,-902.184537793745
-0.004700000000000003,-902.1845315448231
-0.0046,-902.1845323092735
-0.004500000000000004,-902.1845272470283
-0.004400000000000001,-902.1845358337379
-0.004299999999999998,-902.184530655932
-0.004200000000000002,-902.1845369137433
-0.0040999999999999995,-902.1845283937007
-0.0040000000000000036,-902.184537722634
-0.0039000000000000007,-902.1845315092696
-0.003799999999999998,-902.1845322781601
-0.003700000000000002,-902.1845276203635
-0.003599999999999999,-902.1845274470293
-0.003500000000000003,-902.1845360959592
-0.0034000000000000002,-902.1845369270767
-0.0032999999999999974,-902.1845280114721
-0.0032000000000000015,-902.1845287003689
-0.0030999999999999986,-902.184537522633
-0.0030000000000000027,-902.1845325048279
-0.0029,-902.1845273270287
-0.002800000000000004,-902.1845276736971
-0.002700000000000001,-902.184536189293
-0.002599999999999998,-902.1845366515153
-0.0025000000000000022,-902.1845307448191
-0.0023999999999999994,-902.1845283803673
-0.0023000000000000034,-902.1845377537448
-0.0022000000000000006,-902.1845350737341
-0.0020999999999999977,-902.1845277136973
-0.0020000000000000018,-902.184527638137
-0.001899999999999999,-902.1845361581795
-0.001800000000000003,-902.184530589265
-0.0017000000000000001,-902.184536855963
-0.0015999999999999973,-902.1845281848064
-0.0015000000000000013,-902.1845375270797
-0.0013999999999999985,-902.184535207068
-0.0013000000000000025,-902.1845313803823
-0.0011999999999999997,-902.1845275581366
-0.0011000000000000038,-902.1845361448461
-0.0010000000000000009,-902.1845307492658
-0.000899999999999998,-902.184536855963
-0.0008000000000000021,-902.18452825592
-0.0006999999999999992,-902.1845373670789
-0.0006000000000000033,-902.1845377448561
-0.0005000000000000004,-902.1845315714899
-0.0003999999999999976,-902.1845273936957
-0.00030000000000000165,-902.1845361537395
-0.0001999999999999988,-902.1845307181524
-0.00010000000000000286,-902.1845368248495
0.0,-902.1845367670759
0.00010000000000000286,-902.1845282292531
0.0001999999999999988,-902.1845375981887
0.00030000000000000165,-902.184531638157
0.0003999999999999976,-902.1845275714699
0.0005000000000000004,-902.1845360381789
0.0005999999999999964,-902.1845307092656
0.0006999999999999992,-902.1845365715149
0.0008000000000000021,-902.1845366248485
0.000899999999999998,-902.1845280692525
0.0010000000000000009,-902.1845377759676
0.0010999999999999968,-902.1845312781551
0.0011999999999999997,-902.1845272159148
0.0013000000000000025,-902.1845359937387
0.0013999999999999985,-902.1845306648187
0.0015000000000000013,-902.1845366959622
0.0015999999999999973,-902.1845365404081
0.0017000000000000001,-902.1845280603657
0.001800000000000003,-902.1845375404131
0.001899999999999999,-902.1845317048239
0.0020000000000000018,-902.1845275936967
0.0020999999999999977,-902.1845359715119
0.0022000000000000006,-902.184530638152
0.0022999999999999965,-902.184536855963
0.0023999999999999994,-902.1845369759636
0.0025000000000000022,-902.1845282292531
0.002599999999999998,-902.1845374737461
0.002700000000000001,-902.1845314514893
0.002799999999999997,-902.1845275536965
0.0029,-902.1845360515123
0.0030000000000000027,-902.1845359137383
0.0030999999999999986,-902.1845307670459
0.0032000000000000015,-902.1845367270757
0.0032999999999999974,-902.1845281536995
0.0034000000000000002,-902.1845377581895
0.003500000000000003,-902.1845315670499
0.003599999999999999,-902.1845274692494
0.003700000000000002,-902.1845337137273
0.003799999999999998,-902.1845360381789
0.0039000000000000007,-902.1845306870455
0.003999999999999997,-902.1845369581835
0.0040999999999999995,-902.1845281670329
0.004200000000000002,-902.1845377493008
0.004299999999999998,-902.1845317270507
0.004400000000000001,-902.184532189273
0.004499999999999997,-902.1845275759166
0.0046,-902.1845277581375
0.004700000000000003,-902.1845362115131
0.004799999999999999,-902.1845368737431
0.004900000000000002,-902.184528171473
0.0049999999999999975,-902.1845281492529
0.0051,-902.184537500413
0.005200000000000003,-902.1845324203875
0.005299999999999999,-902.184527273695
0.005400000000000002,-902.1845276825838
0.005499999999999998,-902.1845360648457
0.005600000000000001,-902.1845365448481
0.005699999999999997,-902.1845282914735
0.0058,-902.1845282914735
0.0059000000000000025,-902.1845375981887
0.005999999999999998,-902.1845350781741
0.006100000000000001,-902.1845273759156
0.006199999999999997,-902.1845275581366
0.0063,-902.1845358826248
0.006400000000000003,-902.1845310781541
0.006499999999999999,-902.1845368604097
0.006600000000000002,-902.1845279848053
0.006699999999999998,-902.1845379181904
0.0068000000000000005,-902.1845352115081
0.006900000000000003,-902.1845315359363
0.006999999999999999,-902.1845274381359
0.007100000000000002,-902.1845359848453
0.007199999999999998,-902.1845309270467
0.007300000000000001,-902.1845367492958
0.007399999999999997,-902.1845281003659
0.0075,-902.1845373404121
0.007600000000000003,-902.1845373492988
0.0076999999999999985,-902.1845316292702
0.007800000000000001,-902.1845276114701
0.007899999999999997,-902.1845360292922
0.008,-902.1845307759326
0.008100000000000003,-902.1845369626302
0.008199999999999999,-902.1845365359615
0.008300000000000002,-902.1845283714739
0.008399999999999998,-902.184537722634
0.0085,-902.18453158927
0.008600000000000003,-902.1845274959162
0.0087,-902.1845361759596
0.008800000000000002,-902.1845308292662
0.008899999999999998,-902.1845367848493
0.009000000000000001,-902.1845367048489
0.009099999999999997,-902.1845280781391
0.0092,-902.1845378248565
0.009300000000000003,-902.1845316203835
0.009399999999999999,-902.1845274692494
0.009500000000000001,-902.1845359804053
0.009599999999999997,-902.1845307492658
0.0097,-902.1845365670749
0.009800000000000003,-902.1845366248485
0.009899999999999999,-902.1845279092516
0.010000000000000002,-902.1845372870785
0.010099999999999998,-902.1845315270497
0.0102,-902.1845275536965
0.010299999999999997,-902.1845358337379
0.0104,-902.1845306603786
0.010500000000000002,-902.1845368470763
0.010599999999999998,-902.1845367848493
0.010700000000000001,-902.1845281803663
0.010799999999999997,-902.1845379581905
0.0109,-902.1845316692704
0.011000000000000003,-902.1845274292492
0.011099999999999999,-902.1845360470722
0.011200000000000002,-902.184530655932
0.011299999999999998,-902.1845363759606
0.0114,-902.1845367048489
0.011500000000000003,-902.1845282114731
0.0116,-902.1845376159667
0.011700000000000002,-902.1845315314897
0.011799999999999998,-902.1845273981357
0.0119,-902.1845357270707
